Row_ID,Ship_Mode,Segment,State,Region,Category,Sub-Category,Sales,Discount,Profit
45,First_Class,Corporate,Minnesota,Central,Technology,Accessories,45.98,0,19.7714
46,First_Class,Corporate,Minnesota,Central,Office_Supplies,Binders,17.46,0,8.2062
47,Second_Class,Consumer,Michigan,Central,Office_Supplies,Storage,211.96,0,8.4784
48,Standard_Class,Consumer,Delaware,East,Technology,Accessories,45,0,4.95
49,Standard_Class,Consumer,Delaware,East,Technology,Phones,21.8,0,6.104
50,Standard_Class,Consumer,Indiana,Central,Office_Supplies,Binders,38.22,0,17.9634
51,Standard_Class,Consumer,Indiana,Central,Office_Supplies,Labels,75.18,0,35.3346
52,Standard_Class,Consumer,Indiana,Central,Furniture,Furnishings,6.16,0,2.9568
53,Standard_Class,Consumer,Indiana,Central,Furniture,Chairs,89.99,0,17.0981
54,Standard_Class,Corporate,New_York,East,Office_Supplies,Fasteners,15.26,0,6.2566
55,Standard_Class,Corporate,New_York,East,Technology,Phones,1029.95,0,298.6855
56,First_Class,Consumer,New_York,East,Office_Supplies,Storage,208.56,0,52.14
57,First_Class,Consumer,New_York,East,Office_Supplies,Paper,32.4,0,15.552
58,First_Class,Consumer,New_York,East,Furniture,Chairs,319.41,0.1,7.098
59,First_Class,Consumer,New_York,East,Office_Supplies,Paper,14.56,0,6.9888
60,First_Class,Consumer,New_York,East,Technology,Accessories,30,0,3.3
61,First_Class,Consumer,New_York,East,Office_Supplies,Binders,48.48,0.2,16.362
62,First_Class,Consumer,New_York,East,Office_Supplies,Art,1.68,0,0.84
63,Standard_Class,Consumer,California,West,Technology,Accessories,13.98,0,6.1512
64,Standard_Class,Consumer,California,West,Office_Supplies,Binders,25.824,0.2,9.3612
65,Standard_Class,Consumer,California,West,Office_Supplies,Paper,146.73,0,68.9631
66,Standard_Class,Consumer,California,West,Furniture,Furnishings,79.76,0,22.3328
67,Standard_Class,Home_Office,Illinois,Central,Furniture,Chairs,213.115,0.3,-15.2225
68,Standard_Class,Corporate,Arizona,West,Office_Supplies,Art,1113.024,0.2,111.3024
69,Standard_Class,Corporate,Arizona,West,Technology,Phones,167.968,0.2,62.988
70,First_Class,Consumer,Virginia,South,Office_Supplies,Paper,75.88,0,35.6636
71,Standard_Class,Consumer,New_York,East,Office_Supplies,Binders,4.616,0.2,1.731
72,Second_Class,Consumer,Michigan,Central,Office_Supplies,Paper,19.05,0,8.763
73,Standard_Class,Consumer,Tennessee,South,Furniture,Chairs,831.936,0.2,-114.3912
74,Standard_Class,Consumer,Tennessee,South,Furniture,Furnishings,97.04,0.2,1.213
75,Standard_Class,Consumer,Tennessee,South,Office_Supplies,Storage,72.784,0.2,-18.196
76,First_Class,Corporate,Texas,Central,Office_Supplies,Binders,1.248,0.8,-1.9344
77,First_Class,Corporate,Texas,Central,Furniture,Furnishings,9.708,0.6,-5.8248
78,First_Class,Corporate,Texas,Central,Office_Supplies,Storage,27.24,0.2,2.724
79,Second_Class,Consumer,Texas,Central,Furniture,Furnishings,19.3,0.6,-14.475
80,First_Class,Corporate,Alabama,South,Office_Supplies,Appliances,208.16,0,56.2032
81,First_Class,Corporate,Alabama,South,Office_Supplies,Binders,16.74,0,8.0352
82,Standard_Class,Consumer,California,West,Office_Supplies,Art,14.9,0,4.172
83,Standard_Class,Consumer,California,West,Office_Supplies,Storage,21.39,0,6.2031
84,Standard_Class,Corporate,North_Carolina,South,Office_Supplies,Envelopes,200.984,0.2,62.8075
85,First_Class,Home_Office,Illinois,Central,Office_Supplies,Storage,230.376,0.2,-48.9549
86,Second_Class,Consumer,South_Carolina,South,Furniture,Chairs,301.96,0,33.2156
87,Standard_Class,Consumer,Minnesota,Central,Technology,Accessories,19.99,0,6.7966
88,Standard_Class,Consumer,Minnesota,Central,Office_Supplies,Labels,6.16,0,2.9568
89,Second_Class,Home_Office,Texas,Central,Office_Supplies,Storage,158.368,0.2,13.8572
90,Standard_Class,Corporate,California,West,Office_Supplies,Art,20.1,0,6.633
91,Standard_Class,Corporate,California,West,Technology,Phones,73.584,0.2,8.2782
92,Standard_Class,Corporate,California,West,Office_Supplies,Paper,6.48,0,3.1104
93,Second_Class,Consumer,Minnesota,Central,Office_Supplies,Paper,12.96,0,6.2208
94,Second_Class,Consumer,Minnesota,Central,Furniture,Furnishings,53.34,0,16.5354
95,Second_Class,Consumer,Minnesota,Central,Office_Supplies,Binders,32.96,0,16.1504
96,Standard_Class,Home_Office,Oregon,West,Office_Supplies,Binders,5.682,0.7,-3.788
97,Second_Class,Home_Office,New_York,East,Furniture,Furnishings,96.53,0,40.5426
98,First_Class,Consumer,California,West,Office_Supplies,Binders,51.312,0.2,17.9592
99,Standard_Class,Corporate,Minnesota,Central,Office_Supplies,Appliances,77.88,0,22.5852
100,Standard_Class,Home_Office,Illinois,Central,Office_Supplies,Paper,64.624,0.2,22.6184
101,Standard_Class,Home_Office,Illinois,Central,Technology,Accessories,95.976,0.2,-10.7973
102,Standard_Class,Home_Office,Illinois,Central,Office_Supplies,Binders,1.788,0.8,-3.0396
103,Second_Class,Consumer,Minnesota,Central,Office_Supplies,Paper,23.92,0,11.7208
104,Standard_Class,Consumer,Colorado,West,Technology,Accessories,238.896,0.2,-26.8758
105,Standard_Class,Consumer,Colorado,West,Furniture,Furnishings,102.36,0.2,-3.8385
106,Standard_Class,Consumer,Colorado,West,Office_Supplies,Binders,36.882,0.7,-25.8174
107,Standard_Class,Consumer,North_Carolina,South,Technology,Accessories,74.112,0.2,17.6016
108,Standard_Class,Consumer,North_Carolina,South,Technology,Phones,27.992,0.2,2.0994
109,Standard_Class,Consumer,North_Carolina,South,Office_Supplies,Art,3.304,0.2,1.0738
110,Standard_Class,Home_Office,Illinois,Central,Technology,Accessories,339.96,0.2,67.992
111,Standard_Class,Corporate,New_York,East,Furniture,Furnishings,41.96,0,10.9096
112,Standard_Class,Consumer,Iowa,Central,Office_Supplies,Art,75.96,0,22.788
113,Standard_Class,Consumer,Iowa,Central,Office_Supplies,Binders,27.24,0,13.3476
114,Second_Class,Consumer,Ohio,East,Office_Supplies,Fasteners,40.096,0.2,14.5348
115,Second_Class,Consumer,Ohio,East,Office_Supplies,Envelopes,4.72,0.2,1.652
116,Second_Class,Consumer,Ohio,East,Office_Supplies,Paper,23.976,0.2,7.4925
117,Second_Class,Consumer,Ohio,East,Office_Supplies,Envelopes,130.464,0.2,44.0316
118,Standard_Class,Consumer,Washington,West,Furniture,Tables,787.53,0,165.3813
119,Standard_Class,Corporate,Tennessee,South,Office_Supplies,Binders,157.794,0.7,-115.7156
120,First_Class,Consumer,Delaware,East,Furniture,Furnishings,47.04,0,18.3456
121,First_Class,Consumer,Delaware,East,Office_Supplies,Binders,30.84,0,13.878
122,First_Class,Consumer,Delaware,East,Office_Supplies,Storage,226.56,0,63.4368
123,First_Class,Consumer,Delaware,East,Office_Supplies,Envelopes,115.02,0,51.759
124,First_Class,Consumer,Delaware,East,Technology,Phones,68.04,0,19.7316
125,Second_Class,Home_Office,Texas,Central,Furniture,Chairs,600.558,0.3,-8.5794
126,Standard_Class,Consumer,Illinois,Central,Furniture,Tables,617.7,0.5,-407.682
127,Standard_Class,Consumer,Arizona,West,Office_Supplies,Binders,2.388,0.7,-1.8308
128,Standard_Class,Consumer,Arizona,West,Office_Supplies,Storage,243.992,0.2,30.499
129,Second_Class,Home_Office,California,West,Furniture,Chairs,81.424,0.2,-9.1602
130,Second_Class,Home_Office,California,West,Furniture,Furnishings,238.56,0,26.2416
131,First_Class,Corporate,Ohio,East,Technology,Phones,59.97,0.4,-11.994
132,First_Class,Corporate,Ohio,East,Office_Supplies,Paper,78.304,0.2,29.364
133,First_Class,Corporate,Ohio,East,Office_Supplies,Fasteners,21.456,0.2,6.9732
134,Standard_Class,Consumer,California,West,Office_Supplies,Paper,20.04,0,9.6192
135,Standard_Class,Consumer,California,West,Office_Supplies,Paper,35.44,0,16.6568
136,Standard_Class,Consumer,California,West,Office_Supplies,Art,11.52,0,3.456
137,Standard_Class,Consumer,California,West,Office_Supplies,Fasteners,4.02,0,1.9698
138,Standard_Class,Consumer,California,West,Office_Supplies,Binders,76.176,0.2,26.6616
139,Standard_Class,Consumer,California,West,Office_Supplies,Supplies,65.88,0,18.4464
140,Standard_Class,Consumer,California,West,Furniture,Furnishings,43.12,0,20.6976
141,Second_Class,Corporate,Pennsylvania,East,Furniture,Furnishings,82.8,0.2,10.35
142,Standard_Class,Corporate,California,West,Office_Supplies,Art,8.82,0,2.3814
143,Standard_Class,Corporate,California,West,Office_Supplies,Envelopes,10.86,0,5.1042
144,Standard_Class,Corporate,California,West,Office_Supplies,Paper,143.7,0,68.976
145,Standard_Class,Consumer,Missouri,Central,Office_Supplies,Appliances,839.43,0,218.2518
146,Standard_Class,Consumer,California,West,Office_Supplies,Storage,671.93,0,20.1579
147,Standard_Class,Home_Office,Ohio,East,Furniture,Furnishings,93.888,0.2,12.9096
148,Standard_Class,Corporate,Wisconsin,Central,Technology,Phones,384.45,0,103.8015
149,Standard_Class,Corporate,Wisconsin,Central,Technology,Phones,149.97,0,5.9988
150,Standard_Class,Corporate,Wisconsin,Central,Furniture,Chairs,1951.84,0,585.552
151,Standard_Class,Corporate,Wisconsin,Central,Office_Supplies,Binders,171.55,0,80.6285
152,First_Class,Home_Office,Arizona,West,Office_Supplies,Appliances,157.92,0.2,17.766
153,First_Class,Home_Office,Arizona,West,Technology,Phones,203.184,0.2,15.2388
154,First_Class,Corporate,California,West,Office_Supplies,Paper,58.38,0,26.271
155,First_Class,Corporate,California,West,Office_Supplies,Paper,105.52,0,48.5392
156,First_Class,Corporate,California,West,Office_Supplies,Storage,80.88,0,21.0288
157,Standard_Class,Home_Office,Washington,West,Office_Supplies,Art,6.63,0,1.7901
158,Second_Class,Consumer,Washington,West,Furniture,Chairs,457.568,0.2,51.4764
159,Standard_Class,Consumer,Oklahoma,Central,Office_Supplies,Labels,14.62,0,6.8714
160,Standard_Class,Consumer,Oklahoma,Central,Technology,Phones,944.93,0,236.2325
161,First_Class,Consumer,California,West,Office_Supplies,Paper,5.98,0,2.691
162,Second_Class,Consumer,Pennsylvania,East,Technology,Accessories,54.384,0.2,1.3596
163,Standard_Class,Consumer,New_Mexico,West,Office_Supplies,Envelopes,28.4,0,13.348
164,Standard_Class,Consumer,Washington,West,Office_Supplies,Binders,27.68,0.2,9.688
165,Standard_Class,Consumer,Texas,Central,Office_Supplies,Art,9.936,0.2,2.7324
166,Standard_Class,Consumer,Texas,Central,Technology,Machines,8159.952,0.4,-1359.992
167,Standard_Class,Consumer,Texas,Central,Office_Supplies,Storage,275.928,0.2,-58.6347
168,Standard_Class,Consumer,Texas,Central,Furniture,Chairs,1740.06,0.3,-24.858
169,Standard_Class,Consumer,Texas,Central,Office_Supplies,Art,32.064,0.2,6.8136
170,Standard_Class,Consumer,Texas,Central,Office_Supplies,Appliances,177.98,0.8,-453.849
171,Standard_Class,Consumer,Texas,Central,Technology,Phones,143.976,0.2,8.9985
172,Standard_Class,Consumer,California,West,Office_Supplies,Paper,20.94,0,9.8418
173,Standard_Class,Consumer,California,West,Office_Supplies,Paper,110.96,0,53.2608
174,Standard_Class,Consumer,California,West,Furniture,Chairs,340.144,0.2,21.259
175,Standard_Class,Corporate,Illinois,Central,Office_Supplies,Appliances,52.448,0.8,-131.12
176,Standard_Class,Corporate,Illinois,Central,Office_Supplies,Labels,20.16,0.2,6.552
177,Second_Class,Consumer,Texas,Central,Office_Supplies,Appliances,97.264,0.8,-243.16
178,Second_Class,Consumer,Ohio,East,Furniture,Chairs,396.802,0.3,-11.3372
179,Second_Class,Consumer,Ohio,East,Office_Supplies,Supplies,15.88,0.2,-3.7715
180,Standard_Class,Home_Office,New_York,East,Office_Supplies,Art,3.28,0,1.4104
181,Second_Class,Corporate,Illinois,Central,Office_Supplies,Storage,24.816,0.2,1.8612
182,Second_Class,Corporate,Illinois,Central,Technology,Accessories,408.744,0.2,76.6395
183,Second_Class,Home_Office,Louisiana,South,Technology,Phones,503.96,0,131.0296
184,Second_Class,Home_Office,Louisiana,South,Technology,Phones,149.95,0,41.986
185,Second_Class,Home_Office,Louisiana,South,Technology,Accessories,29,0,7.25
186,Standard_Class,Consumer,Connecticut,East,Office_Supplies,Binders,7.16,0,3.4368
187,Standard_Class,Home_Office,California,West,Technology,Accessories,176.8,0,22.984
188,Standard_Class,Corporate,Texas,Central,Office_Supplies,Storage,37.224,0.2,3.7224
189,Standard_Class,Corporate,Texas,Central,Office_Supplies,Paper,20.016,0.2,6.255
190,First_Class,Home_Office,New_York,East,Furniture,Bookcases,899.136,0.2,112.392
191,First_Class,Home_Office,New_York,East,Technology,Phones,71.76,0,20.0928
192,First_Class,Home_Office,New_York,East,Office_Supplies,Paper,51.84,0,24.8832
193,First_Class,Home_Office,New_York,East,Furniture,Bookcases,626.352,0.2,46.9764
194,First_Class,Home_Office,New_York,East,Office_Supplies,Art,19.9,0,6.567
195,Standard_Class,Corporate,California,West,Office_Supplies,Envelopes,14.28,0,6.7116
196,Standard_Class,Consumer,Ohio,East,Office_Supplies,Art,7.408,0.2,1.2038
197,Standard_Class,Consumer,Ohio,East,Office_Supplies,Art,6.048,0.2,1.5876
198,Standard_Class,Home_Office,New_Jersey,East,Office_Supplies,Storage,46.26,0,12.0276
199,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Binders,2.946,0.7,-2.2586
200,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Paper,16.056,0.2,5.8203
201,Standard_Class,Consumer,Ohio,East,Office_Supplies,Paper,21.744,0.2,6.795
202,First_Class,Consumer,Colorado,West,Furniture,Tables,218.75,0.5,-161.875
203,First_Class,Consumer,Colorado,West,Office_Supplies,Appliances,2.6,0.2,0.2925
204,Second_Class,Consumer,Texas,Central,Office_Supplies,Appliances,66.284,0.8,-178.9668
205,Standard_Class,Corporate,Tennessee,South,Furniture,Furnishings,35.168,0.2,9.6712
206,Standard_Class,Consumer,California,West,Technology,Phones,444.768,0.2,44.4768
207,Standard_Class,Consumer,Michigan,Central,Office_Supplies,Storage,83.92,0,5.8744
208,Standard_Class,Consumer,Michigan,Central,Technology,Phones,131.98,0,35.6346
209,Standard_Class,Consumer,Michigan,Central,Office_Supplies,Binders,15.92,0,7.4824
210,Standard_Class,Consumer,Michigan,Central,Office_Supplies,Fasteners,52.29,0,16.2099
211,Standard_Class,Consumer,Michigan,Central,Office_Supplies,Storage,91.99,0,3.6796
212,Second_Class,Corporate,Texas,Central,Technology,Accessories,20.8,0.2,6.5
213,Standard_Class,Corporate,Ohio,East,Office_Supplies,Labels,23.68,0.2,8.88
214,Standard_Class,Corporate,Ohio,East,Furniture,Bookcases,452.45,0.5,-244.323
215,Standard_Class,Corporate,Ohio,East,Technology,Phones,62.982,0.4,-14.6958
216,Standard_Class,Corporate,Ohio,East,Technology,Machines,1188,0.7,-950.4
217,Standard_Class,Corporate,Ohio,East,Technology,Accessories,89.584,0.2,4.4792
218,Standard_Class,Consumer,California,West,Office_Supplies,Storage,93.06,0,26.0568
219,Standard_Class,Consumer,California,West,Technology,Phones,302.376,0.2,22.6782
220,First_Class,Consumer,Ohio,East,Office_Supplies,Fasteners,5.584,0.2,1.8148
221,First_Class,Consumer,Ohio,East,Office_Supplies,Paper,22.704,0.2,8.2302
222,First_Class,Consumer,Ohio,East,Office_Supplies,Binders,19.776,0.7,-13.8432
223,First_Class,Consumer,Ohio,East,Furniture,Furnishings,72.704,0.2,19.0848
224,First_Class,Consumer,Ohio,East,Technology,Machines,479.988,0.7,-383.9904
225,First_Class,Consumer,Ohio,East,Office_Supplies,Art,27.168,0.2,2.7168
226,Standard_Class,Corporate,Michigan,Central,Office_Supplies,Art,2.2,0,0.968
227,Standard_Class,Corporate,Michigan,Central,Furniture,Tables,622.45,0,136.939
228,Standard_Class,Corporate,Michigan,Central,Office_Supplies,Storage,21.98,0,0.2198
229,Standard_Class,Consumer,Tennessee,South,Furniture,Chairs,161.568,0.2,-28.2744
230,Standard_Class,Consumer,Tennessee,South,Furniture,Chairs,389.696,0.2,43.8408
231,Standard_Class,Corporate,North_Carolina,South,Office_Supplies,Binders,18.648,0.7,-12.432
232,Standard_Class,Home_Office,Florida,South,Furniture,Tables,233.86,0.45,-102.048
233,Standard_Class,Home_Office,Florida,South,Furniture,Tables,620.6145,0.45,-248.2458
234,Standard_Class,Home_Office,Florida,South,Office_Supplies,Binders,5.328,0.7,-3.552
235,Standard_Class,Home_Office,Florida,South,Furniture,Furnishings,258.072,0.2,0
236,Standard_Class,Home_Office,Florida,South,Technology,Accessories,617.976,0.2,-7.7247
237,Standard_Class,Corporate,California,West,Office_Supplies,Paper,10.56,0,4.752
238,Second_Class,Consumer,Illinois,Central,Office_Supplies,Paper,25.92,0.2,9.396
239,Second_Class,Consumer,Illinois,Central,Furniture,Furnishings,419.68,0.6,-356.728
240,Second_Class,Consumer,Illinois,Central,Furniture,Furnishings,11.688,0.6,-4.6752
241,Second_Class,Consumer,Illinois,Central,Technology,Phones,31.984,0.2,11.1944
242,Second_Class,Consumer,Illinois,Central,Furniture,Tables,177.225,0.5,-120.513
243,Second_Class,Consumer,Illinois,Central,Furniture,Furnishings,4.044,0.6,-2.8308
244,Second_Class,Consumer,Illinois,Central,Office_Supplies,Art,7.408,0.2,1.2038
245,Second_Class,Home_Office,Minnesota,Central,Furniture,Chairs,2001.86,0,580.5394
246,Second_Class,Home_Office,Minnesota,Central,Office_Supplies,Storage,166.72,0,41.68
247,Second_Class,Home_Office,Minnesota,Central,Office_Supplies,Paper,47.88,0,23.94
248,Second_Class,Home_Office,Minnesota,Central,Office_Supplies,Appliances,1503.25,0,496.0725
249,Second_Class,Home_Office,Minnesota,Central,Office_Supplies,Paper,25.92,0,12.4416
250,Second_Class,Consumer,California,West,Furniture,Chairs,321.568,0.2,28.1372
251,Standard_Class,Consumer,California,West,Office_Supplies,Paper,7.61,0,3.5767
252,Standard_Class,Consumer,California,West,Technology,Accessories,3347.37,0,636.0003
253,First_Class,Consumer,New_York,East,Office_Supplies,Storage,80.58,0,22.5624
254,First_Class,Consumer,New_York,East,Office_Supplies,Envelopes,361.92,0,162.864
255,Standard_Class,Corporate,Illinois,Central,Furniture,Furnishings,12.132,0.6,-8.4924
256,Standard_Class,Corporate,Illinois,Central,Office_Supplies,Storage,82.368,0.2,-19.5624
257,Standard_Class,Corporate,Illinois,Central,Office_Supplies,Storage,53.92,0.2,4.044
258,Standard_Class,Corporate,Illinois,Central,Technology,Phones,647.904,0.2,56.6916
259,Second_Class,Consumer,New_York,East,Technology,Accessories,20.37,0,6.9258
260,Second_Class,Consumer,New_York,East,Office_Supplies,Storage,221.55,0,6.6465
261,Second_Class,Consumer,New_York,East,Office_Supplies,Binders,17.52,0.2,6.132
262,Standard_Class,Corporate,Texas,Central,Office_Supplies,Appliances,1.624,0.8,-4.466
263,Second_Class,Corporate,Texas,Central,Technology,Machines,3059.982,0.4,-509.997
264,Second_Class,Corporate,Texas,Central,Technology,Machines,2519.958,0.4,-251.9958
265,Standard_Class,Consumer,Illinois,Central,Technology,Phones,328.224,0.2,28.7196
266,Standard_Class,Consumer,California,West,Technology,Accessories,79.9,0,35.156
267,Standard_Class,Corporate,North_Carolina,South,Office_Supplies,Art,14.016,0.2,4.7304
268,Standard_Class,Consumer,New_Jersey,East,Office_Supplies,Fasteners,7.56,0,0.3024
269,Standard_Class,Corporate,Ohio,East,Office_Supplies,Storage,37.208,0.2,-7.4416
270,Standard_Class,Corporate,Ohio,East,Office_Supplies,Envelopes,57.576,0.2,21.591
271,Second_Class,Corporate,California,West,Office_Supplies,Storage,725.84,0,210.4936
272,First_Class,Consumer,California,West,Technology,Accessories,209.93,0,92.3692
273,First_Class,Consumer,California,West,Furniture,Furnishings,5.28,0,2.3232
274,First_Class,Consumer,California,West,Office_Supplies,Binders,10.92,0.2,4.095
275,First_Class,Corporate,California,West,Office_Supplies,Paper,8.82,0,4.0572
276,First_Class,Corporate,California,West,Office_Supplies,Art,5.98,0,1.5548
277,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Paper,11.648,0.2,4.0768
278,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Paper,18.176,0.2,5.9072
279,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Storage,59.712,0.2,5.9712
280,Standard_Class,Corporate,Pennsylvania,East,Office_Supplies,Labels,24.84,0.2,8.694
281,Second_Class,Consumer,Texas,Central,Office_Supplies,Binders,2.08,0.8,-3.432
282,Second_Class,Consumer,Texas,Central,Technology,Phones,1114.4,0.2,376.11
283,Standard_Class,Consumer,California,West,Furniture,Tables,1038.84,0.2,51.942
284,Standard_Class,Consumer,Oregon,West,Office_Supplies,Paper,141.76,0.2,47.844
285,Standard_Class,Consumer,Oregon,West,Technology,Accessories,239.8,0.2,47.96
286,Standard_Class,Consumer,Oregon,West,Office_Supplies,Paper,31.104,0.2,10.8864
287,Second_Class,Corporate,Florida,South,Office_Supplies,Binders,254.058,0.7,-169.372
288,Second_Class,Corporate,Florida,South,Office_Supplies,Appliances,194.528,0.2,24.316
289,Second_Class,Corporate,Florida,South,Office_Supplies,Supplies,961.48,0.2,-204.3145
290,Second_Class,Home_Office,Ohio,East,Office_Supplies,Fasteners,19.096,0.2,6.6836
291,Second_Class,Home_Office,Ohio,East,Office_Supplies,Labels,18.496,0.2,6.2424
292,Second_Class,Home_Office,Ohio,East,Technology,Accessories,255.984,0.2,54.3966
293,Second_Class,Home_Office,Ohio,East,Furniture,Bookcases,86.97,0.5,-48.7032
294,First_Class,Corporate,Colorado,West,Furniture,Furnishings,300.416,0.2,78.8592
295,First_Class,Corporate,Colorado,West,Furniture,Chairs,230.352,0.2,20.1558
296,First_Class,Corporate,Colorado,West,Furniture,Furnishings,218.352,0.2,-24.5646
297,First_Class,Corporate,Colorado,West,Office_Supplies,Binders,78.6,0.7,-62.88
298,First_Class,Corporate,Colorado,West,Office_Supplies,Fasteners,27.552,0.2,9.2988
299,Standard_Class,Corporate,New_Jersey,East,Office_Supplies,Paper,32.4,0,15.552
300,Standard_Class,Corporate,New_Jersey,East,Office_Supplies,Storage,1082.48,0,10.8248
301,Standard_Class,Corporate,New_Jersey,East,Office_Supplies,Paper,56.91,0,27.3168
302,Standard_Class,Corporate,New_Jersey,East,Furniture,Furnishings,77.6,0,38.024
303,Standard_Class,Corporate,New_Jersey,East,Office_Supplies,Binders,14.28,0,6.5688
304,Standard_Class,Consumer,Illinois,Central,Furniture,Tables,219.075,0.5,-131.445
305,Second_Class,Corporate,New_York,East,Furniture,Furnishings,26.8,0,12.864
306,Standard_Class,Corporate,Michigan,Central,Office_Supplies,Art,9.84,0,2.8536
307,Standard_Class,Home_Office,New_Jersey,East,Office_Supplies,Binders,45.48,0,20.9208
308,Standard_Class,Home_Office,New_Jersey,East,Office_Supplies,Art,289.2,0,83.868
309,First_Class,Consumer,Virginia,South,Office_Supplies,Art,4.89,0,2.0049
310,Second_Class,Corporate,Colorado,West,Furniture,Furnishings,15.136,0.2,3.5948
311,Second_Class,Corporate,Colorado,West,Furniture,Chairs,466.768,0.2,52.5114
312,Second_Class,Corporate,Colorado,West,Furniture,Furnishings,15.232,0.2,1.7136
313,Second_Class,Corporate,Colorado,West,Office_Supplies,Labels,6.264,0.2,2.0358
314,Standard_Class,Corporate,New_Jersey,East,Furniture,Furnishings,87.54,0,37.6422
315,Standard_Class,Corporate,Florida,South,Technology,Phones,178.384,0.2,22.298
316,Standard_Class,Corporate,Florida,South,Office_Supplies,Paper,15.552,0.2,5.4432
317,First_Class,Corporate,Pennsylvania,East,Office_Supplies,Art,99.136,0.2,8.6744
318,Standard_Class,Home_Office,New_York,East,Furniture,Chairs,135.882,0.1,24.1568
319,Standard_Class,Home_Office,New_York,East,Technology,Machines,3991.98,0,1995.99
